Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Limit	Format	Text
Kusanagi no Tsurugi	DR1	kusanagi_no_tsurugi	Equip Spell					1		Equipa con esta carta unicamente a "Orochimaru". Incrementa su ATK en 500 puntos. una vez por turno, puedes desequipar esta carta unida a "Orochimaru" para equiparla a 1 ninja que tu oponente controle: no podra declarar ataques y en la Standby Phase del turno de ambos jugadores su ATK es reducido en 200 puntos. Si el ninja es destruido, regresa esta carta a tu mano
Suiton: Suijinheki	DR1	suijinheki	Quick-Play Spell					3		Debes controlar a "Nidaime Hokage" para activar esta carta. Cuando una carta que tu oponente controla declara un ataque, puedes activar esta carta. Niega todos los ataques de cartas del oponente por 2 turnos
Suiton: Suishoha	DR1	suishoha	Normal Spell					3		Incrementa los puntos de ATK de "Nidaime Hokage" en 2000 puntos hasta el final del turno en el que fue activada esta carta
Futon: Renkudan	DR1	renkudan	Quick-Play Spell					3		Debes controlar a "Ichibi no Shukaku" para activar esta carta. Durante tu Battle Phase, destruye todas las cartas de ninja que tu oponente controle
Suna Shuriken	DR1	Suna_Shuriken	Normal Spell					3		Debes controlar a "Gaara Semi Shukaku" o a "Shukaku Gaara" para activar este efecto. Incrementa su ATK en 300 puntos hasta el final del turno. Puedes regresar esta carta a tu mano en vez de enviarla al Cementerio
Sunagakure Shinobi	DR1	sunagakure_shinobi	Continuous Spell					1		Una vez por turno, mientras esta carta siga activa en el campo, puedes invocar de forma especial 1 "Ficha Sunagakure Shinobi" (Sunagakure Shinobi/EARTH/Level 4/ATK 1500/DEF 1300) en modo de ataque
Otogakure Shinobi	DR1	otogakureshinobi	Continuous Spell					1		Una vez por turno, mientras esta carta siga activa en el campo, puedes invocar de forma especial 1 "Ficha Otogakure Shinobi" (Otogakure Shinobi/WIND/Level 4/ATK 1400/DEF 1100) en modo de ataque
Ficha Sunagakure Shinobi	DR1	ficha_sunagakure	Sunagakure Shinobi	Earth	4	1500	1300			Esta carta puede ser tratada como ficha
Ficha Otogakure Shinobi	DR1	ficha_otogakure	Otogakure Shinobi	WIND	4	1400	1100			Esta carta puede ser utilizada como ficha
Ichibi no Shukaku	DR1	shukaku	Biju/Efecto	Wind	10	4300	6500	1		Debes pagar 4000 LP para invocar esta carta. Sacrifica 1 carta de "Shukaku Gaara" que controles para invocar esta carta de modo especial. Esta carta no puede ser atacada por cartas de ninja. Cuando fuera a ser destruida en batalla, reduce  su DEF en 1000 puntos
Abumi Zaku #2	DR1	abumi_zaku2	Otogakure Genin/Efecto	Light	4	1100	1000	3		Cuando esta carta es invocada de forma normal con exito, añade 1 carta de "Kaze-kan" de tu mazo a tu mano. Mezcla el mazo
Kinuta Dosu #2	DR1	dosu_kinuta2	Otogakure Genin/Efecto	Light	4	1250	1100	3		Cuando esta carta es invocada de forma normal con exito, añade 1 carta de "Sonikkuamu" de tu mazo a tu mano. Mezcla el mazo
Sabaku no Kankuro #2	DR1	kankuro_2	Sunagakure Genin/Efecto	Dark	4	1100	1550	3		Cuando esta carta es invocada de forma normal con exito, añade 1 carta de "Kugutsu no Jutsu" de tu mazo a tu mano. Mezcla el mazo. Esta carta no puede ser declarada como objetivo del ataque de cartas del oponente mientras "Karasu" se encuentre en tu lado del campo
Tsuchi Kin #2	DR1	kin_2	Otogakure Genin/Efecto	Dark	4	1000	950	3		Cuando esta carta es invocada de forma normal con exito, añade 1 carta de "Kage Senbon Bunshin no Jutsu" de tu mazo a tu mano. Mezcla el mazo
Sabaku no Gaara #2	DR1	sabaku_no_gaara_2	Sunagakure Genin/Efecto	Earth	4	1200	1650	3		Cuando esta carta es invocada de forma normal con exito, añade 1 carta de "Calabaza de Arena" de tu mazo a tu mano. Mezcla el mazo
Sabaku no Temari #2	DR1	Temari_2	Sunagakure Genin/Efecto	Wind	4	1000	1650	3		Cuando esta carta es invocada de forma normal con exito, añade 1 carta de "Kyodai Sensu" de tu mazo a tu mano. Mezcla el mazo
Arribo de Ultimo Minuto	DR1	arribo_de_ultimo_minuto	Continuous Spell					1		Puedes activar esta carta cuando no hay ningun ninja en tu lado del campo. Invoca de modo especial 1 carta de "Uchiha Sasuke" nivel 5 de tu mano (no se requieren sacrificios)
Sarutobi Asuma lvl 6	DR1	asumasarutobilvl5	Konohagakure Jonin/Efecto	Fire	6	1900	1850	3		Durante la fase de batalla del oponente, si una carta de ninja que el oponente controle declara un ataque contra "Nara Shikamaru", puedes designar a esta carta como nuevo objetivo para el ataque. No se realiza diferencia de daño
Chidori	DR1	chidori	Equip Spell					1		Incrementa el ATK de "Uchiha Sasuke" en 1400 puntos. Cuando "Uchiha Sasuke" ataca a un ninja que el oponente controle (sin importar su posicion de batalla), inflige daño directo extra a los Life Points de tu oponente equivalente al ATK original de "Uchiha Sasuke". Al final d e tu Battle Phase, destruye esta carta
Akimichi Choza	DR1	choza_akimichi	Konohagakure Jonin/Efecto	Earth	7	2000	2900	1		Esta carta solo puede ser invocada por el efecto de "Trio Ino-Shika-Cho". Durante la Battle Phase de tu turno, puedes activar este efecto. Incrementa el ATK de esta carta en 2000 puntos hasta el final de la Battle Phase
Determinacion de Hokage	DR1	determinacion_de_hokage	Quick-Play Spell					1		Esta carta solo puede ser activada si tu oponente controla la carta "Destruccion de la Aldea". Puedes invocar desde tu mano 1 carta de "Sandaime Hokage". No puedes realizar mas invocaciones durante el turno en el que es activada esta carta
Dispersion de Genjutsu	DR1	dispersion_de_genjutsu	Quick-Play Spell					3		Puedes activar esta carta cuando tu oponente activa la carta "Nehan Shoja no Jutsu". Selecciona 1 carta de ninja que controles. No sera afectada por el efecto de "Nehan Shoja no Jutsu"
Disrupcion de Chakra	DR1	disrupcion_de_chakra	Counter Trap					1		Debes controlar a "Aburame Shino" para activar esta carta. Si el oponente activa una carta magica/trampa que involucre a una carta de ninja especifico, cancela su activacion
Doton: Doryudan	DR1	Doryudan	Quick-Play Spell					2		Puedes activar esta carta luego de haber activado la carta "Doton: Doryu Taiga". Inflige daño de batalla a la carta de ninja que fue afectada por "Doton: Doryu Taiga" equivalente al nivel de "Sandaime Hokage" multiplicado por 400 puntos
Doton: Doryuheki	DR1	doryuheki	Continuous Trap					1		Puedes activar esta carta cuando "Sandaime Hokage" es declarado como objetivo del ataque de un ninja que tu oponente controla. Reduce todo el daño de batalla a 0 mientras esta carta siga activa en el campo
Doton: Doryu Taiga	DR1	doryutaiga	Normal Trap					3		Debes controlar a "Sandaime Hokage" para activar esta carta. Cuando un ninja que tu oponente controla declara un ataque, puedes activar esta carta: niega el ataque
Enkoo Enma	DR1	enma	Saru/Efecto	Fire	8	2800	2950	1		Solo puedes invocar esta carta de modo especial por el efecto de "Kuchiyose no Jutsu". Debes controlar a "Sandaime Hokage". Cuando esta carta es invocada con exito, puedes traer desde tu mazo a tu mano 1 carta de "Henge: Kongonyoi". Mezcla el mazo
Gamabunta	DR1	gamabunta	Gama/Efecto	Water	9	4500	6000	1		Solo puedes invocar esta carta de modo especial por el efecto de "Kuchiyose no Jutsu". Debes controlar a "Uzumaki Naruto". Esta carta no puede ser atacada por cartas de ninja. Una vez por turno, puedes traer desde tu mazo, 1 carta de "Suiton: Teppodama" a tu mano
Hakke Rokujuyon Sho	DR1	hakke_rokujuyon_sho	Normal Spell					1		Debes controlar a "Hyuga Neji" para activar esta carta. Selecciona 1 carta de ninja que tu oponente controle, por el resto del juego tu oponente no podra activar cartas magicas/trampa que involucren a ese ninja. Si el ninja seleccionado ya estaba equipado con cartas magicas, destruyelas. Si en el campo ya habian cartas magicas/trampa que involucran al ninja seleccionado, destruyelas
Henge: Kongonyoi	DR1	henge_kongonyoi	Continuous Spell					1		Esta carta solo puede ser equipada a "Enkoo Enma". Mientras esta carta siga activa en el campo, "Enkoo Enma" es considerado una carta magica de equipamiento con el siguiente efecto: "incrementa el ATK de "Sandaime Hokage" en 400 puntos". Puedes enviar esta carta al cementerio para que "Enkoo Enma" vuelva a ser considerado una carta normal
Yamanaka Inoichi	DR1	inoichi_yamanaka	Konohagakure Jonin/Efecto	Earth	7	1800	2400	1		Esta carta solo puede ser invocada por el efecto de "Trio Ino-Shika-Cho". Una vez por turno, cuando un ninja enemigo declara un ataque contra esta carta, selecciona a 1 ninja que tu oponente controle y designalo como nuevo objetivo del ataque
Kagemane no Jutsu #2	DR1	kagemane2	Continuous Trap					1		Debes controlar a "Nara Shikamaru" para activar esta carta. Selecciona a 1 o mas cartas de ninja que el oponente controle. Por 5 turnos, no podran atacar, activar efectos, cambiar su posicion de batalla, ser sacrificadas o enviadas a la mano. Las cartas mágicas/trampa que involucren a los ninjas seleccionados no podran ser activadas. Si "Nara Shikamaru" es destruido antes de los 5 turnos, destruye esta carta
Katon: Karyudan	DR1	karyudan	Quick-Play Spell					1		Puedes activar esta carta luego de haber activado la carta "Doton: Doryudan". El daño de "Doton: Doryudan" pasa de 500 a 800 puntos
Katon: Karyu Endan	DR1	karyuendan	Normal Spell					1		Incrementa el ATK de "Sandaime Hokage" en 1600 puntos hasta el final del turno
Kongo Roheki	DR1	Kongo_Roheki	Normal Spell					1		Esta carta solo puede ser activada si "Henge: Kongonyoi" se encuentra en tu lado del campo. Durante los proximos 6 turnos, "Sandaime Hokage" no podra ser atacado, o seleccionado por efectos de cartas
Meditacion	DR1	meditacion	Normal Spell					3		Busca en tu mazo 1 carta de "Kagemane no Jutsu" y añadela a tu mano. Mezcla el mazo
Nara Shikaku	DR1	narashikaku	Konohagakure Jonin/Efecto	Earth	7	1900	2500	1		Esta carta solo puede ser invocada por el efecto de "Trio Ino-Shika-Cho". Los ninja que el oponente controle no podran atacar, activar su efecto, cambiar su posicion de batalla o ser retirados del campo (excepto los invocados en turnos posteriores)
Orochimaru no Juinjutsu	DR1	orochimaru_no_juinjutsu	Normal Spell					1		Puedes activar esta carta 1 vez por turno. Busca en tu mazo una carta cuyo nombre contenga "Juin". Mezcla el mazo. Si esta carta se encuentra en tu cementerio, puedes devolverla a tu mano
Pakkun	DR1	pakkun	Ninken/Efecto	Earth	2	400	250	3		Solo puedes invocar a esta carta de modo especial por el efecto de "Kuchiyose no Jutsu". Debes controlar a "Hatake Kakashi". Una vez por turno, puedes activar este efecto. Tu oponente debe revelar 1 carta de ninja de su mano. Si no puede revelarla, roba 1 carta de tu mazo
Sandaime Hokage	DR1	SandaimeHokage	Hokage/Efecto	Fire	8	3000	3600	1		Esta carta no puede ser invocada de modo normal. Debe ser invocada de modo especial por el efecto de "Determinacion de Hokage". Mientras esta carta permanece activa en el campo, los ninjas de "Konohagakure" ganan 500 puntos de ATK y DEF
Shiki Fuin	DR1	shiki_fuin	Continuous Trap					1		Debes controlar a "Sandaime Hokage" para activar esta carta. Selecciona 1 carta de ninja que tu oponente controle. No podra atacar, activar su efecto, o ser afectado por cartas magicas/trampa. "Sandaime Hokage" no podra atacar, activar efectos, o ser afectado por cartas magicas/trampa que lo involucren. Paga 500 puntos de vida en cada una de tus Main Phases. Pasados 10 turnos, ambas cartas son desterradas
Shuriken Kage Bunshin	DR1	shurikenkagebunshin	Quick-Play Spell					1		Puedes activar esta carta cuando uno de los ninjas que controles esta equipado con al menos 1 carta de "Shuriken". Durante la Battle Phase de tu turno, antes de realizar un ataque, inflige daño de batalla a 1 carta ninja que el oponente controle en 500 puntos multiplicado por el nivel de la carta de ninja equipado que controles
Suiton: Teppodama	DR1	teppodama	Quick-Play Spell					1		Debes controlar a "Gamabunta" para activar esta carta. Niega la activacion de 1 carta de "Futon: Renkudan". En adicion, "Ichibi no Shukaku" pierde 2000 puntos de ATK
Trio Ino-Shika-Cho	DR1	trioinoshikacho	Quick-Play Spell					1		"Destruccion de la Aldea" debe estar presente en el campo del oponente. Puedes invocar 1 carta de "Yamanaka Inoichi", "Nara Shikaku" y "Akimichi Choza" desde tu mazo o tu mano, al campo en modo de ataque o defensa (si lo haces desde tu mazo, mezclalo posteriormente)
Uchiha Sasuke lvl 5 	DR1	Uchiha_Sasuke_lvl5_alternativo	Konohagakure Genin/Efecto	Light	5	1500	1550	3		Cuando esta carta es invocada de modo normal con exito, puedes buscar en tu mazo 1 carta de "Chidori" y añadirla a tu mano. Mezcla el mazo
Uzumaki Naruto lvl 5 	DR1	uzumakinarutoalternativo	Konohagakure Genin/Efecto	Wind	5	1400	1500	3		Una vez por turno, durante tu Main Phase, busca en tu mazo 1 carta de "Kage Bunshin no Jutsu" y añadela a tu mano. Luego mezcla el mazo
Nara Shikamaru lvl 5 	DR1	narashikamarulvl5opcional	Konohagakure Genin/Efecto	Dark	5	1000	1210	3		Cuando esta carta es invocada de forma normal con exito, añade 1 carta de "Kagemane no Jutsu" de tu mazo a tu mano. Mezcla el mazo
Aliados en Batalla	DR1	aliados_en_batalla	Normal Spell					1		Cuando en tu campo controlas a "Gamabunta", ninguna carta del oponente puede declarar ataques contra "Uzumaki Naruto". Si "Gamabunta" es destruido, destruye esta carta
El Arma Definitiva de la Arena	DR1	el_arma_definitiva	Normal Spell					1		Activa esta carta solo cuando no tengas cartas de ninja en tu lado del campo. Invoca de modo especial, desde tu mazo o mano, 1 carta de "Sabaku no Gaara" en modo de Defensa. En adicion, puedes agregar 1 carta de "Calabaza de Arena" de tu Mazo o Cementerio. Si lo haces desde tu Mazo, mezclalo posteriormente
Peon de Sacrificio #1	DR1	peondesacrificio1	Normal Trap					1		Puedes activar esta carta si antes activaste la carta "Kuchiyose: Edo Tensei". Invoca de modo especial, desde tu mano, 1 carta de "Abumi Zaku" en tu lado del campo. En adicion, aumenta su nivel en 8 hasta el final del turno en el que fue activada esta carta
Peon de Sacrificio #2	DR1	peondesacrificio2	Normal Trap					1		Puedes activar esta carta si antes activaste la carta "Kuchiyose: Edo Tensei". Invoca de modo especial, desde tu mano, 1 carta de "Tsuchi Kin" en tu lado del campo. En adicion, aumenta su nivel en 8 hasta el final del turno en el que fue activada esta carta
Suna no Tama	DR1	Suna_no_tama	Continuous Trap					1		Debes controlar a "Sabaku no Gaara" para activar esta carta. Mientras esta carta permanezca activa en el campo, "Sabaku no Gaara" incrementa su DEF en 2000 puntos. "Sabaku no Gaara" no puede ser afectado por cartas mágicas/trampa del oponente. Durante cualquiera de tus Standby Phase, puedes enviar esta carta al Cementerio para traer, desde tu mazo, 1 carta de "Gaara Semi Shukaku" a tu mano. Mezcla el mazo
Mapa de las Naciones Shinobi	DR1	mapadelasnacionesshinobi	Normal Spell					3		Busca en tu Mazo 1 carta magica de campo que en su nombre incluya "Sato". Mezcla el mazo posteriormente
Mansion Hokage	DR1	mansion_hokage	Continuous Spell					1		La carta "Konohagakure no Sato" debe estar activa en el campo. Una vez por turno, mientras esta carta siga activa en el campo, puedes seleccionar 1 carta de ninja de tipo "Hokage" de tu mazo y añadirla a tu mano. Mezcla el mazo
Mision de Emergencia	DR1	mision_de_emergencia	Normal Spell					2		Añade 1 carta de "Uzumaki Naruto", "Haruno Sakura", y "Nara Shikamaru" de tu mazo a tu mano. Mezcla el mazo
Infiltracion	DR1	infiltracion	Normal Spell					1		Busca en tu mazo 1 carta de "Orochimaru" y añadela a tu mano. Mezcla el mazo. En adicion, puedes añadir 1 carta de "Destruccion de la Aldea" a tu mano. Si lo haces, no podras declarar ataques en tu proximo turno
Ambicion sin Fin	DR1	ambicion_sin_fin	Normal Trap					1		Debes controlar a "Orochimaru" para activar esta carta. Puedes enviar 1 "Kusanagi no Tsurugi" que controles al Cementerio para destruir 1 carta de ninja del oponente equipada con ella. Si "Orochimaru" es afectado por "Shiki Fuin" durante la activacion de esta carta, no podra declarar ataques por el resto del duelo. Ninguna carta magica/trampa que involucre a "Orochimaru" puede ser activada
Control de Chakra	DR1	control_de_chakra	Quick-Play Spell					3		Puedes activar esta carta cuando en tu mano hay 8 cartas o mas. Al finalizar tu turno, evita descartar. Puedes enviar esta carta al fondo de tu mazo en vez de enviarla al Cementerio
El Sabio Pervertido	DR1	El_Sabio_Pervertido	Normal Spell					1		Añade 1 carta de "Kuchiyose no Jutsu" de tu mazo a tu mano. Mezcla el mazo
Entrenamiento de Ebisu	DR1	Entrenamiento_de_Ebisu	Quick-Play Spell					1		Activa esta carta unicamente durante la End Phase de tu turno. Si en tu mano tienes 8 o mas cartas, evita descartar. Luego de enviar esta carta al cementerio, puedes añadir 1 carta de "Control de Chakra" de tu Mazo a tu Mano. Mezcla el Mazo
Orden de Ramen Extra	DR1	orden_de_ramen	Quick-Play Spell					3		Solo puedes activar esta carta si "Ichiraku Ramen" esta presente en tu lado del campo. Agrega 2 "Contadores de Ramen" en la Main Phase del turno en el que fue activada esta carta
Amaterasu	DR1	amaterasu	Continuous Trap					1		Debes controlar a "Uchiha Itachi" equipado con "Mangekyo Sharingan" para activar esta carta. Debes pagar 300 puntos de vida para activar este efecto. En cada una de tus Main Phases, lanza 1 moneda. Si el resultado es cara, destruye 1 carta de ninja que tu oponente controle. Si "Uchiha Itachi" es destruido, envia esta carta al Cementerio. En cualquiera de tus Main Phases, puedes regresar esta carta a tu mano
Chakura no Mesu	DR1	bisturi_de_chakra	Equip Spell					1		Equipa con esta carta únicamente a "Yakushi Kabuto". Mientras esta carta permanezca equipada, puedes aplicar el siguiente efecto: Puedes atacar a una carta de ninja del oponente sin realizar calculo de daño. El ninja que sea atacado por "Yakushi Kabuto" no podra atacar  por 1 turno
Dokugiri	DR1	dokugiri	Normal Trap					3		Debes controlar a "Shizune" para activar esta carta. Lanza 1 moneda. Si el resultado es cara, destruye a todas las cartas de ninja que tu oponente controle
Doton: Yomi Numa	DR1	doton_yomi_numa	Continuous Trap					2		Debes controlar a "Jiraiya" para activar esta carta. Selecciona 1 carta "no-ninja" que el oponente controle: no podra atacar, cambiar su posición de batalla o abandonar el campo. Ninguna carta mágica/trampa que involucre a la carta seleccionada puede ser activada.
Gamabunta #2	DR1	Gamabunta2	Gama/Efecto	Water	9	4600	6100	1		Solo puedes invocar esta carta de modo especial por el efecto de "Kuchiyose no Jutsu". Debes controlar a "Jiraiya". Esta carta no puede ser atacada por cartas de ninja. Una vez por turno, puedes traer desde tu mazo, 1 carta de "Katon: Gamayu Endan" a tu mano
Gamadosuzan	DR1	gamadosuzan	Quick-Play Spell					3		Debes controlar a "Gamabunta" para activar esta carta. Durante la Battle Phase de tu turno, si "Gamabunta" es utilizado para efectuar un ataque a una carta que el oponente controla, aplica el siguiente efecto: La carta del oponente que sea atacada por Gamabunta pierde 2000 puntos de ATK
Katon: Gamayu Endan	DR1	gamayu_endan	Normal Spell					3		Debes controlar a "Jiraiya" y "Gamabunta" para activar esta carta. Lanza 1 dado de 6 caras. Destruye tantas cartas en la zona de cartas de ninja que el oponente controle como indique el numero que haya salido. Si el resultado del dado es mayor al numero de cartas que el oponente controla, destruyelas todas
Hari Jizo	DR1	hari_jizo	Normal Trap					3		Puedes activar esta carta cuando "Jiraiya" es declarado como objetivo del ataque de un ninja que el oponente controle. Niega el ataque, y si lo haces, inflige daño a los Life Points del oponente equivalente a la diferencia entre el ATK de ambas cartas
Hoshigaki Kisame	DR1	Hoshigaki_kisame	Akatsuki/Efecto	Water	6	2100	2600	1		Solo puedes invocar esta carta de forma especial si en tu campo controlas a "Uchiha Itachi". Cuando esta carta es invocada con exito, busca en tu mazo 1 carta de "Samehada" y agregala a tu mano. Mezcla el mazo
Uchiha Itachi	DR1	itachi_uchiha	Akatsuki/Efecto	Dark	6	2000	2500	1		Si tu oponente controla al menos 2 cartas de Ninja, puedes invocar esta carta de forma especial, desde tu mano. Cuando esta carta es invocada, anade 1 carta de "Mangekyo Sharingan" de tu mazo a tu mano. Mezcla el mazo
Jiraiya	DR1	jiraiya	Sannin/Efecto	Fire	8	2800	2900	1		Invoca esta carta de forma especial, desde tu mano, teniendo a "Uzumaki Naruto" en tu lado del campo. Una vez por turno, puedes añadir 1 carta de "Kuchiyose no Jutsu" de tu mazo a tu mano. Mezcla el mazo
Katsuyu	DR1	katsuyu	Namekuji/Efecto	Light	9	4000	6500	1		Solo puedes invocar esta carta de modo especial por el efecto de "Kuchiyose no Jutsu". Debes controlar a "Tsunade". Esta carta no puede ser atacada por cartas de ninja. Una vez por turno, durante tu Standby Phase, incrementa tus Life Points en 1300 puntos
Katsuyu Daibunretsu	DR1	katsuyu_daibunretsu	Quick-Play Spell					3		Puedes activar esta carta si "Katsuyu" fuera a ser destruida en batalla, por el efecto de una carta magica/trampa que tu oponente active, o seleccionada por el efecto de una carta magica/trampa continua. "Katsuyu" no podra ser destruida ni seleccionada por el efecto de cartas magicas/trampa continuas durante el turno en el que es activada esta carta
Lanzador de Dardos	DR1	lanzadordedardos	Equip Spell					1		Equipa con esta carta unicamente a "Shizune". Una vez por turno, añade desde tu mazo o Cementerio, 1 carta de "Shikomishindan" a tu mano. Si lo haces desde tu mazo, mezclalo posteriormente
Makitsuki	DR1	makitsuki	Continuous Trap					1		Debes controlar a "Manda" para activar esta carta. Selecciona 1 carta "no-ninja" que el oponente controle. Mientras esta carta permanezca activa en el campo, la carta seleccionada no podra atacar o cambiar su posicion de batalla. "Manda" no podra atacar ni cambiar su posicion de batalla. En cualquiera de tus Main Phases, puedes regresar esta carta a tu mano para cancelar su efecto
Manda	DR1	manda	Kyodaija/Efecto	Dark	9	4400	6000	1		Solo puedes invocar esta carta de modo especial por el efecto de "Kuchiyose no Jutsu". Debes controlar a "Orochimaru" y "Yakushi Kabuto". Cuando esta carta es declarada como objetivo de un ataque de una carta del oponente, cambiala a posicion de defensa
Mangekyo Sharingan	DR1	mangekyo_sharingan	Equip Spell					1		Equipa con esta carta unicamente a "Uchiha Itachi". En cada una de tus Standby Phases, reduce el ATK de "Uchiha Itachi" en 200 puntos. Una vez por turno, puedes traer 1 carta de "Tsukuyomi" o "Amaterasu" de tu mazo a tu mano. Mezcla el mazo. "Uchiha Itachi" no puede ser seleccionado por efectos de cartas magicas/trampa. En cualquiera de tus Main Phases, puedes desequipar esta carta y regresarla a tu mano
Uzumaki Naruto Nisen Rendan	DR1	nisen_rendan	Quick-Play Spell					1		Sólo puedes activar esta carta si "Taju Kage Bunshin no Jutsu #2" se encuentra activa en tu lado del campo. Remueve todos los contadores colocados en "Taju Kage Bunshin no Jutsu #2" para infligir daño de batalla a 1 carta de ninja que tu oponente controle, equivalente a la mitad del ATK original de "Uzumaki Naruto" multiplicado por la cantidad de contadores removidos
Orochimaru #2	DR1	orochimaru2	Sannin/Efecto	Dark	8	2600	3000	1		Invoca esta carta de forma especial, desde tu mano, teniendo a "Yakushi Kabuto" en tu lado del campo. Ninguna carta magica/trampa que involucre a esta carta puede ser activada. Si "Manda" esta presente en tu lado del campo, esta carta no puede ser atacada
Rasengan	DR1	rasengan	Equip Spell					3		Debes controlar al menos 2 "fichas Clon de Sombra" para activar esta carta. Incrementa el ATK de "Uzumaki Naruto" en 1600 puntos. Cuando "Uzumaki Naruto" ataca a un ninja que el oponente controle (sin importar su posicion de batalla), inflige daño directo a los Life Points de tu oponente equivalente al ATK total de "Uzumaki Naruto". Al final de tu Battle Phase, destruye esta carta y 2 "fichas Clon de Sombra" que controles
Samehada	DR1	samehada	Equip Spell					1		Equipa con esta carta unicamente a "Hoshigaki Kisame". Mientras esta carta permanezca equipada, puedes aplicar el siguiente efecto: Puedes atacar a una carta de ninja del oponente sin realizar calculo de daño. Incrementa tus Life Points en un valor equivalente a la mitad de los puntos de ATK de la carta de ninja atacada
Shikomishindan	DR1	shikomishindan	Normal Trap					3		Debes controlar a "Shizune" para activar esta carta. Selecciona 1 ninja que tu oponente controle. Reduce su ATK y DEF en 300 puntos
Shizune	DR1	shizune	Konohagakure Jonin/Efecto	Light	4	1550	1200	3		Una vez por turno, durante tu Standby Phase, incrementa tus Life Points en 300 puntos mientras esta carta permanezca en el campo
Suicchi no Manda	DR1	suicchi_no_manda	Quick-Play Spell					3		Puedes activar esta carta si "Manda" fuera a ser destruida por un efecto de una carta magica/trampa que tu oponente active. "Manda" no es destruida y permanece en el campo
Suiton: Suikodan no Jutsu	DR1	suikodan_no_jutsu	Normal Spell					3		Incrementa los puntos de ATK de "Hoshigaki Kisame" en 900 puntos hasta el final del turno en que fue activada esta carta
Tsukuyomi	DR1	tsukuyomi	Normal Trap					3		Debes controlar a "Uchiha Itachi" equipado con "Mangekyo Sharingan" para activar esta carta. Debes pagar 300 puntos de vida para activar este efecto. Selecciona 1 carta de ninja que tu oponente controle: por 7 turnos, no podra atacar, cambiar su posicion de batalla o abandonar el campo. Las cartas magicas/trampa que involucre al ninja afectado no podran ser activadas
Tsunade	DR1	Tsunade	Sannin/Efecto	Light	8	2700	2500	1		Invoca esta carta de forma especial, desde tu mano, teniendo a "Shizune" en tu lado del campo. Una vez por turno, durante tu Standby Phase, incrementa tus Life Points en 800 puntos
Yakushi Kabuto #2	DR1	Yakushi_Kabuto_level5	Otogakure Shinobi/Efecto	Light	5	1700	1600	3		Esta carta no puede ser destruida como resultado de una batalla. En cada una de tus Standby Phases, incrementa tus Life Points en 500 puntos mientras esta carta permanezca en el campo
Arena de Examenes Chunin	DR1	arena_de_examenes_chunin	Field Spell					3		Mientras esta carta permanezca activa en el campo, ningun jugador podra invocar cartas de ninja que no sean del tipo "Genin" (excluye invocacion especial). Si antes de la activacion de esta carta, ya habian cartas que no son del tipo "Genin" en el campo, dichas cartas son regresadas a la mano de su respectivo dueño. Una vez por turno, puedes traer a tu mano, desde tu mazo, 1 carta de "Combate y Estrategia". Mezcla el mazo
Combate y Estrategia	DR1	combate_y_estrategia	Continuous Spell					1		Solo puedes activar esta carta si "Arena de Examenes Chunin" se encuentra activa en tu lado del campo. Tu y tu oponente deben desterrar 5 cartas de tipo Genin de su mazo. Una vez por turno, deben invocar de forma especial 1 ninja de tipo "Genin" desterrado por el efecto de esta carta. Cada jugador solo puede controlar 1 ninja en su lado del campo. Las cartas de ninja y no-ninja que destruyan a otras cartas en batalla son desterradas
Ninpo: Sozo Saisei	DR1	soso_saisei	Equip Spell					2		Equipa con esta carta unicamente a "Tsunade". Cuando "Tsunade" fuera a ser destruida en batalla, puedes pagar 2000 Life Points en vez de enviarla al Cementerio. Si no puedes pagarlos, envía esta carta al Cementerio
Recarga de Arena	DR1	recarga_de_arena	Normal Spell					3		Roba 4 cartas de la parte superior de tu mazo.Envia 3 cartas al fondo de tu mazo.
Garra del Shukaku	DR1	garra_del_shukaku	Continuous Trap					1		Debes controlar a "Gaara Semi Shukaku" para activar esta carta. Selecciona 1 ninja de tipo Genin que se encuentre en el campo de tu oponente. No podrá atacar mientras esta carta se encuentre activa en el campo. Si "Gaara Semi Shukaku" abandona el campo, destruye esta carta
Konbi Henge	DR1	konbi_henge	Normal Spell					3		Invoca 1 carta de Fusión desde tu Extra Deck utilizando las cartas de ninja y no-ninja en tu mano o tu lado del campo requeridas en la carta de Fusión a invocar
El Poder de la Juventud	DR1	poder_de_la_juventud	Normal Spell					3		Roba 4 cartas de la parte superior de tu mazo
Taju Kage Bunshin no Jutsu #2	DR1	taju_kage_bunshin_2	Continuous Spell					1		Debes controlar a "Uzumaki Naruto" para activar esta carta. Coloca un numero de contadores en esta carta, equivalente al numero de cartas en tu mazo. Si "Uzumaki Naruto" fuera a ser destruido como resultado de una batalla, remueve 1 contador de esta carta. Si "Uzumaki Naruto" fuera a ser destruido o desterrado por el efecto de 1 carta mágica/trampa, remueve todos los contadores de esta carta y envíala al Cementerio
Amagumo	DR1	amagumo	Continuous Spell					1		Debes controlar a "Kidomaru" y "Kyodaigumo" para activar esta carta. Selecciona 1 carta de ninja que tu oponente controle. No podra declarar ataques mientras esta carta permanezca activa en el campo
Kumo Senkyu: Suzaku	DR1	arcodekidomaru	Equip Spell					2		Equipa esta carta unicamente a "Cursed Mark Kidomaru #2". Cuando "Cursed Mark Kidomaru #2" ataca a un ninja en modo de defensa que el oponente controla, inflige la diferencia a los Life Points de tu oponente como daño de batalla
